21,"{'华安基金管理有限公司', '100000', '宿明杰', '华泰财产保险股份有限公司', '吴梅林', '珠海稳健投资有限公司', '易方达基金管理有限公司', '李从武', '兴业证券股份有限公司', '1050000', '定价', '200000', '800000', '鹏华基金管理有限公司', '50000', '3200000', '370000', '红塔证券股份有限公司', '180000', '1000000', '12'}",541613,0,set(),4,"{'华泰财产保险股份有限公司', '定价', '12', '鹏华基金管理有限公司'}",21,"{'华安基金管理有限公司', '100000', '宿明杰', '华泰财产保险股份有限公司', '吴梅林', '珠海稳健投资有限公司', '易方达基金管理有限公司', '李从武', '兴业证券股份有限公司', '1050000', '定价', '200000', '800000', '鹏华基金管理有限公司', '50000', '3200000', '370000', '红塔证券股份有限公司', '180000', '1000000', '12'}"
12,"{'11206328', '现金', '339999991.5', '169999995.8', '5603164', '嘉实基金管理有限公司', '竞价', '9190508', '上海中汇金锐投资管理有限公司', '前海开源基金管理有限公司', '12', '278840012.7'}",15903490,2,"{'竞价', '169999995.8'}",5,"{'现金', '12', '嘉实基金管理有限公司', '前海开源基金管理有限公司', '上海中汇金锐投资管理有限公司'}",10,"{'11206328', '现金', '339999991.5', '5603164', '12', '嘉实基金管理有限公司', '9190508', '前海开源基金管理有限公司', '上海中汇金锐投资管理有限公司', '278840012.7'}"
6,"{'现金', '8521516', '梁桂秋', '竞价', '200000000', '36'}",4952968,1,{'竞价'},3,"{'现金', '36', '梁桂秋'}",5,"{'现金', '8521516', '梁桂秋', '200000000', '36'}"
7,"{'威海保利', '现金', '定价', '563960000', '508590000', '36', '保利壹期'}",15723090,2,"{'508590000', '563960000'}",5,"{'威海保利', '现金', '定价', '36', '保利壹期'}",5,"{'威海保利', '现金', '定价', '36', '保利壹期'}"
4,"{'陈邦', '竞价', '现金', '36'}",15524198,0,set(),4,"{'陈邦', '竞价', '现金', '36'}",4,"{'陈邦', '竞价', '现金', '36'}"
18,"{'大同煤矿集团有限责任公司', '现金', '138121546', '12', '267000000', '国开泰富基金管理有限责任公司', '泰达宏利基金管理有限公司', '财通基金管理有限公司', '23204423', '276243093', '1000000000', '竞价', '82872928', '300000000', '500000000', '中投知本汇(北京)资产管理有限公司', '华安未来资产管理(上海)有限公司', '36'}",15658716,1,{'竞价'},7,"{'36', '大同煤矿集团有限责任公司', '现金', '国开泰富基金管理有限责任公司', '财通基金管理有限公司', '泰达宏利基金管理有限公司', '12'}",17,"{'大同煤矿集团有限责任公司', '现金', '138121546', '12', '267000000', '国开泰富基金管理有限责任公司', '泰达宏利基金管理有限公司', '财通基金管理有限公司', '23204423', '276243093', '1000000000', '82872928', '300000000', '500000000', '中投知本汇(北京)资产管理有限公司', '华安未来资产管理(上海)有限公司', '36'}"
2,"{'竞价', '天津滨海发展投资控股有限公司'}",224128,1,{'竞价'},1,{'天津滨海发展投资控股有限公司'},1,{'天津滨海发展投资控股有限公司'}
24,"{'光大证券股份有限公司', '165000000', '4000000', '3000000', '33000000', '8000000', '5000000', '新华人寿保险股份有限公司', '上投摩根基金管理有限公司', '定价', '99000000', '264000000', '66000000', '无锡亿利大机械有限公司', 'JF资产管理有限公司', '长盛基金管理有限公司', '中信证券股份有限公司', '中融国际信托投资有限公司', '2000000', '红塔证券股份有限公司', '132000000', '1000000', '中海基金管理有限公司', '12'}",545345,6,"{'66000000', '165000000', '99000000', '33000000', '132000000', '264000000'}",11,"{'光大证券股份有限公司', '上投摩根基金管理有限公司', '新华人寿保险股份有限公司', '无锡亿利大机械有限公司', '定价', '长盛基金管理有限公司', '红塔证券股份有限公司', '中信证券股份有限公司', '中融国际信托投资有限公司', '中海基金管理有限公司', '12'}",18,"{'5000000', '光大证券股份有限公司', '8000000', '无锡亿利大机械有限公司', '新华人寿保险股份有限公司', 'JF资产管理有限公司', '上投摩根基金管理有限公司', '4000000', '长盛基金管理有限公司', '定价', '2000000', '红塔证券股份有限公司', '3000000', '中信证券股份有限公司', '中融国际信托投资有限公司', '1000000', '中海基金管理有限公司', '12'}"
15,"{'南京瑞森投资管理合伙企业(有限合伙)', '北方凌云工业集团有限公司', '中兵投资管理有限责任公司', '现金', '150000000', '3684598', '400000000', '长城国融投资管理有限公司', '14738393', '苏州瑞顺创业投资企业(有限合伙)', '29476787', '11053795', '50000000', '200000000', '36'}",292459,0,set(),5,"{'北方凌云工业集团有限公司', '中兵投资管理有限责任公司', '现金', '长城国融投资管理有限公司', '36'}",15,"{'南京瑞森投资管理合伙企业(有限合伙)', '北方凌云工业集团有限公司', '中兵投资管理有限责任公司', '现金', '150000000', '3684598', '400000000', '长城国融投资管理有限公司', '14738393', '苏州瑞顺创业投资企业(有限合伙)', '29476787', '11053795', '50000000', '200000000', '36'}"
4,"{'上海六禾投资有限公司', '兴业财富资产管理有限公司', '东吴基金管理有限公司', '财通基金管理有限公司'}",16193636,0,set(),4,"{'上海六禾投资有限公司', '兴业财富资产管理有限公司', '东吴基金管理有限公司', '财通基金管理有限公司'}",4,"{'上海六禾投资有限公司', '兴业财富资产管理有限公司', '东吴基金管理有限公司', '财通基金管理有限公司'}"
